broker_company,broker_name,broker_phone_number,broker_photo_url,business_location,description,header,image_url,price
,,,,"Fresno, CA","the owner leaves the country quite often so he is not able to manage the business properly. This business has a lot of potential, it is near fresno state; a lot of students come by and alot of...",Cream,https://images.bizbuysell.com/shared/listings/221/2215191/e3ffdaf5-4530-4aeb-8823-427f21e9cfe1-W336.jpg,135000.0
,,,,Available Nationwide,"The world’s first & only 100% mobile 3D scanning booth franchise with little to NO competition, an Avg Gross Margin of 60.5%, and NO inventory!",Shrunk 3D,https://images.bizbuysell.com/fnw/images/2466/2581/9b9d07ae-80de-416e-af38-42968ae0d7c3.png,70000.0
,,,,"San Diego, CA","Embark on a lucrative journey with our exclusive California Giant Cannabis Dispensary Retail Portfolio, featuring 14 dispensaries strategically positioned in PRIME high traffic cities all over...",14 Cannabis Dispensaries HIGHLY PROFITABLE (California) #1303,https://images.bizbuysell.com/shared/listings/221/2214828/293c8858-6127-4ba3-baea-a7a55db000f6-W336.jpg,49900000.0
,,,,"San Bernardino County, CA","We’re pleased to present an incredible opportunity to purchase a franchise restaurant with with annual sales exceeding $2.22 million, fully equipped, well-training team and ready for immediate...",Location!!!!! Popular Franchise Restaurant For Sale,"https://images.bizbuysell.com/shared/listings/221/2214824/ae242832-a181-48a0-88fc-c080ae28370d-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2214824/68bcdf85-5623-4d00-9dfb-7008513c0b73-W336.jpg",800000.0
TNW Business Brokers,Mani Singh,951.296.7646,https://images.bizbuysell.com/shared/brokerdirectory/images/6953/lg_prs__DSC3763web.jpg,"San Bernardino, CA","Great opportunity to acquire and a high net, well established, short hours, auto repair/mechanic shop with Real Estate. Please note, that this establishment opens its doors for business only five(5)...",Auto Repair/Mechanic Shop with Real Estate(Land & Building) - High Net,https://images.bizbuysell.com/shared/listings/219/2192900/a1c5858a-5d0b-4b6e-9be6-f5c70267b44f-W336.jpg,1400000.0
,,,,"Eureka, CA","Great opportunity to acquire a fully licensed MicroBusiness Cultivation, Manufacturing Type N production license in Humboldt County, California. The business is primarily clinically built for high...","Cultivation, Manufacturing, and Delivery (Humboldt, CA)#1299",https://images.bizbuysell.com/shared/listings/221/2214796/42233d85-6e79-4cfb-8202-3442e0010aeb-W336.png,910000.0
,,,,"Van Nuys, CA","Great opportunity to add additional locations and/or license types to maximize revenue, in Van Nuys, CA near major highways! Currently the business is fully licensed both at the local & state level...","Management For Distribution & Manufacturing Type 6 (Van Nuys, CA)#1297",https://images.bizbuysell.com/shared/listings/221/2214787/08bdb298-e6c1-46ca-9016-f4502a3bd8b6-W336.png,25000.0
,,,,"Los Angeles County, CA","Pronova Partners is a results based professional firm that specializes in the sale or transfer of businesses throughout California and has Advisors spread around the country.  With a proven track record we have the experience and know how to attract qualified, capable buyers for your business. From preparation of a comprehensive Confidential Information Memorandum (CIM) to relentlessly aggressive marketing and persistent follow up through closing, our systems and expertise lead you through the complex sales process smoothly and successfully.",,,
,,,,"Riverside, CA","Great opportunity for a prime cannabis delivery opportunity located in a great area in Riverside County, California at the heart of the 15/91 intersections. Spanning Riverside, Orange County, Los...","Cannabis Delivery Business For Sale (Riverside, California) #1296",https://images.bizbuysell.com/shared/listings/221/2214668/65b38237-181e-4699-8e6f-c765190a0915-W336.png,145000.0
,,,,"Hollywood, CA",50% Down Gets You In The Door!!! Great opportunity for a Fully Operational Dispensary & Delivery business off Melrose in LA! The business is fully operational and licensed at the local and state...,"Operational Dispensary And Delivery, Melrose Ave (LA, California)#1294",https://images.bizbuysell.com/shared/listings/221/2214600/7437c649-bed0-469e-9c76-7d51c26dea18-W336.png,1075000.0
,,,,"Santa Rosa, CA","Seize the opportunity to step into the flourishing cannabis industry right in the heart of Santa Rosa, California, a vibrant city with a population of 176,000! In 2023 alone, the business raked in an...","Operational Cannabis Dispensary (Santa Rosa, CA) #1290",https://images.bizbuysell.com/shared/listings/221/2213287/a89591be-7440-43fd-9e68-2c77540cf893-W336.png,599000.0
,,,,"Los Angeles, CA","If you are looking to secure a distribution license in the Los Angeles market this is the opportunity for you! The unit is turn key and fully built out. It includes a small safe, storage shelves,...","Turnkey Cannabis Distribution (Los Angeles, CA) #1289",https://images.bizbuysell.com/shared/listings/221/2213286/d46a05ea-1a69-479c-8a52-19370d147e74-W336.png,195000.0
,,,,"Los Angeles, CA",If you are looking to secure a fully built out turn key delivery in the Los Angeles market this is the opportunity for you! Great opportunity to take over a unit in the City of Los Angeles. The unit...,"Turnkey Cannabis Delivery (Los Angeles, CA) #1287",https://images.bizbuysell.com/shared/listings/221/2213284/1aad69c9-e194-43d2-9e98-21f52f1212af-W336.png,175000.0
,,,,Available Nationwide,With over 40 years of experience we have worked to perfect our business model! We now have some of the most robust numbers in the hair care industry!,Lemon Tree Hair Salons,https://images.bizbuysell.com/fnw/images/220/220/2cd1b202-6021-4cbd-8aae-4363c978ec4a.jpg,120000.0
,,,,"Alameda, CA","This is an excellent opportunity for someone looking to establish or expand their Delivery, Manufacturing, and Distribution footprint in the Oakland area (Pop +433k)! The licenses are held in a 2,649...","Cannabis MicroBusiness (Oakland, Ca) #1285",https://images.bizbuysell.com/shared/listings/221/2213283/04de3cfa-5db2-421f-9b8d-55e8a1354681-W336.png,175000.0
,,,,California,"SBA Pre-Qualified. Long Established and Profitable Pediatric Speech and Occupational Therapy Practice, with a dedicated team of licensed therapists. Very well located for growth. They are committed to...",Thriving Children's Speech & Occupational Therapy Bus. in S. Cal.,https://images.bizbuysell.com/shared/listings/221/2213100/866aa4d4-772b-4287-81da-22bc5dea4f44-W336.jpg,699000.0
Franchise Flippers,Franchise Flippers,(970) 515-3634,https://images.bizbuysell.com/shared/brokerdirectory/images/46587/lg_prs_logoonblue.jpg,"Woodland, CA","Step into a high-performing Spherion franchise located off Highway 5 in Woodland, CA, serving two thriving territories: Yolo County and Colusa County. These territories offer a rich array of business...",Transform Lives and Businesses with $2.6M Revenue Staffing Agency,"https://images.bizbuysell.com/shared/listings/217/2171858/1f90fd1b-836e-474d-a0da-c55271fd88dd-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2171858/2bd20abe-27ec-43c2-9c68-c812f13eff9c-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2171858/1a841bbc-b756-4f17-ad12-9de88e55b2d7-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2171858/9434f70a-53ca-4055-b33f-cc9aeb89636f-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2171858/5323eea7-e22e-4c29-9055-f6b98fb836f4-W336.jpg",800000.0
,,,,"Sacramento, CA","Situated in the Elk Grove area, Characterized by its mix of residential and commercial properties. The surrounding neighborhood offers a blend of suburban living with easy access to urban amenities....","Preschool For Sale Elk Grove, CA",https://images.bizbuysell.com/shared/listings/221/2212021/17da27ae-cf84-48ef-b615-fec33aad7a03-W336.jpg,1600000.0
,,,,"Los Angeles County, CA","Very well established, high-end and leading custom framing company with a long history of providing exceptional design services to individuals and businesses, with a long-term local and international...",Well Established Art Framing Company in Southern California,https://images.bizbuysell.com/shared/listings/220/2207903/51edc2ec-255f-4038-92b1-2c744988f9d3-W336.jpg,1350000.0
,,,,,,,,
,,,,"Palmdale, CA","• Back in the Market, Buyer could not perform - Price reduced for Quick Sale • The name speaks for itself “SPEEDWASH” where business is growing faster than expected and seller may have to add...",EXPRESS CAR WASH + PROPERTY - Remodeled & New Equipment 2022,https://images.bizbuysell.com/shared/listings/220/2206368/d1ecffc4-7108-4afc-878d-b2e340542e5b-W336.jpg,2499990.0
,,,,California,"Price Improved! For sale is a 10-year-old California construction and remodeling company specializing in additions, ADU construction and garage conversions to ADU, along with some kitchen/bathroom...",(Price Improved)California Remodeling Business w/Leadership in place,https://images.bizbuysell.com/shared/listings/220/2202756/bc0d69b2-2ddb-4502-b666-afb327b2cd13-W336.jpg,5250000.0
,,,,"Los Angeles County, CA","***Priced to Sell*** Great opportunity to own a well established, profitable and well reviewed French Bakery/Pastry shop in a great boutique LA community location (4.5 stars on both Yelp & Google)....",Well Established French Bakery & Pastry Shop,https://images.bizbuysell.com/shared/listings/219/2199853/8d786e00-35c5-48e7-ba18-bc545b6696de-W336.jpg,195000.0
,,,,"Bakersfield, CA",JOIN A BILLION DOLLAR INDUSTRY WITH UNLIMITED POTENTIAL! OWN YOUR OWN THRIVING POOL SERVICE ROUTE WITH RECURRING POSITIVE CASH FLOW. Great opportunity to own your own pool service route in a growing...,"Pool Service Route - Bakersfield, CA",https://images.bizbuysell.com/shared/listings/219/2198288/bc04f103-7072-45c8-a019-822e4b49c010-W336.jpg,37860.0
,,,,"Rancho Cordova, CA",AAMCO Transmission Business (7 Years Remaining) along with the Property and Assets included....,Sale of Establish 20 Yr Business & Property,"https://images.bizbuysell.com/shared/listings/219/2191965/8890a01f-a675-4053-8193-2145cc09b6c4-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2191965/3098891b-94a1-473d-9b97-3b81a5fae4e8-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2191965/4c60d1b6-13fe-43f2-bc44-33f3adb412cc-W336.jpg",750000.0
,,,,Available Nationwide,"Minuteman Press is the world's largest & #1 rated digital printing and graphics franchise. With our state of the art technology, proven marketing programs and over 25 regional support offices, we have been able to take quality people from all walks of life and provide them with the opportunity to secure their financial future.",Minuteman Press Business Services,https://images.bizbuysell.com/fnw/images/242/242/9559179a-4d5f-4a54-9791-4c766e8dca87.gif,50000.0
,,,,"Ventura County, CA","Casitas Trailer Rentals has been in the business of providing southern California residents quality trailers for more than 20 years. In 2020, the current owner purchased the company and was improving...","RV Trailer Rental Business @ Lake Casitas, Ventura County",https://images.bizbuysell.com/shared/listings/219/2191906/416b378f-8177-46f8-bc5c-9101d53eadb5-W336.jpg,19900.0
,,,,"San Diego, CA","With a successful track record for over 25 years, this business has provided janitorial and cleaning services to over 150 recurring clients throughout San Diego County. Consistently generates over...",Leading Commercial Janitorial Business,https://images.bizbuysell.com/shared/listings/217/2178191/55da66bd-0056-4dbf-91c9-02fb96c5301d-W336.jpg,3500000.0
,Mike Varma,562.818.7174,,"Anaheim, CA","This is a Profitable, Turnkey Machine Shop that caters to Commercial, Off Road Markets & Private label Distributors. The Owner has been running this business at the same location since 1989. The...",Established Manufacturing Business For Sale,"https://images.bizbuysell.com/shared/listings/216/2160968/47f5d45c-9ef0-4315-883a-048cdf291078-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/d0151c31-a057-4bc4-9f39-1f2688d5a7d0-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/95429465-e311-4721-9085-e01ccc575b83-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/6ccbf64a-1aa1-42da-858f-2ae651ee1bb6-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/5e3a0496-5cc0-41c5-a5b4-36a5314c067c-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/5b24de3f-4a7d-404f-85a9-4f808f978ad8-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/32b53d2e-59ee-4a91-9565-d935778a74cd-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/9cfa2a4a-691f-467f-912c-e2331046b191-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/339ea6b3-bdcb-44c7-b002-41daf974bd9c-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/33005e5c-b345-4964-96a8-c4f6da594f34-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/4b142f2d-6895-4ee6-bbae-66a8ab6d1d6c-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2160968/1e06088c-1938-4965-84c1-fdd233d99b95-W336.jpg",375888.0
,,,,"Hemet, CA","• Mediterranean Gourmet Food - Great Prices - Friendly Service • Mediterranean authentic delicious home style Food, well known communities favorite restaurant • Serving since 2017. Customers drive...","MEDITERRANEAN Restaurant - Gourmet Food, Friendly Service",https://images.bizbuysell.com/shared/listings/217/2172937/da7cf448-a506-497a-ab8f-264a740b2eb9-W336.jpg,120000.0
,,,,"Los Angeles, CA",This is a rare opportunity to own a successful jewelry and watch repair business that has been serving the Sherman Oaks community for 16 years. This store is part of the largest jewelry and watch...,Established & Reputable Jewelry & Watch Repairs Franchise,"https://images.bizbuysell.com/shared/listings/216/2165702/1a2531ef-23a1-448f-885d-b70d34f3701f-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2165702/89e13add-a713-477e-b706-ce6a7aea701c-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2165702/191a8d5b-6ad0-40e7-91fd-8da9ae761a3e-W336.jpg,https://images.bizbuysell.com/shared/listings/216/2165702/bab24674-414c-4a28-9316-89ac51f5d14d-W336.jpg",200000.0
,,,,Available Nationwide,"The sky is the limit! Provide innovative services to real estate agents such as 3D Tours, Aerial Videos and Virtual Staging. There's a lot of money to be made by becoming a Drone Pilot.",Hommati,https://images.bizbuysell.com/fnw/images/1080/1157/ecb20403-4ea6-4e67-83f3-936da395cddb.png,70000.0
,,,,"Camarillo, CA","HomeVestors Of America ""We Buy Ugly Houses"" is known to most everyone. Franchising since 1996, Homevestors specializes in purchasing houses that are undervalued & selling these houses at a profit....",Buy at Wholesale properties Franchise,https://images.bizbuysell.com/shared/listings/216/2162566/5954842b-d5d1-42da-9520-4e3bc3b1d78e-W336.png,70000.0
,,,,"Riverside County, CA","Established barbershop in the heart of Moreno Valley, serving the community for over 6 years. Great customer base, repeat clientele, and potential for growth. There is currently a manager and 2...",Established Barber Shop For Sale,"https://images.bizbuysell.com/shared/listings/215/2158018/3bd20f18-3ece-4232-a3ab-6ca839857112-W336.png,https://images.bizbuysell.com/shared/listings/215/2158018/82c65efc-9b60-4093-9ce6-ae405e420da3-W336.png,https://images.bizbuysell.com/shared/listings/215/2158018/6e2fcfe0-238a-44ff-8030-21e39f11a67f-W336.png",35000.0
,,,,"Fontana, CA",JOIN A BILLION DOLLAR INDUSTRY WITH UNLIMITED POTENTIAL! OWN YOUR OWN THRIVING POOL SERVICE ROUTE WITH RECURRING POSITIVE CASH FLOW. Great opportunity to own your own pool service route. This route...,"Pool Service Route - Fontana, CA",https://images.bizbuysell.com/shared/listings/215/2151137/24f63d12-6cd8-4ef8-9630-eab366f3ccfb-W336.jpg,67680.0
,,,,"Tuolumne County, CA","This full-service independent grocery store is located in the foothills of the Northern California Gold Country. Well established in the community, this store features full meat, bakery, deli, and...",Well Established Independent Grocery Store in NorCal Foothills,https://images.bizbuysell.com/shared/listings/213/2130577/f6b6fbec-2891-47c9-9dcf-59e0b4f6a5bf-W336.jpg,4250000.0
,,,,"Brea, CA",Absentee run location. Great potential for owner operator to enter national brand and expand. Major mall location. Essential business. Owner has other business interests....,National Casual Pizza Concept for Sale,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/foodpizza.jpg,250000.0
,,,,"San Bernardino County, CA",When You Want Results,,,
,,,,"Elk Grove, CA","Opened in January 2011 we have supplied scissor lift rentals to the construction industry in the valley and bay area. Our fleet ranges from 43' to 19' platform height lifts, including rough terrain...",Turn key scissor and fork lift rental business,"https://images.bizbuysell.com/shared/listings/211/2113779/ef7f3508-32ad-450f-991a-4a5033ea6e81-W336.jpg,https://images.bizbuysell.com/shared/listings/211/2113779/b3db20c7-f18c-43cc-add5-b02a741d1e05-W336.jpg",500000.0
,,,,"Marysville, CA","JOIN A BILLION DOLLAR INDUSTRY WITH UNLIMITED POTENTIAL! OWN YOUR OWN THRIVING POOL SERVICE ROUTE WITH RECURRING POSITIVE CASH FLOW. Profitable part time pool route in Marysville, Yuba City area. This...","Pool Service Route - Marysville, CA",https://images.bizbuysell.com/shared/listings/211/2112318/5bbb5adf-8722-487b-97e5-6e0ee0d38965-W336.jpg,58680.0
,Rich Tower,7757224966,,"Sacramento, CA","Motivated Seller. Long standing Moulding and Millwork Manufacturer located on 15 acres in the Sacrament Valley, ready to provide an excellent opportunity for the next generation. With valuable real...",Prominent Sacramento Valley Moulding & Millwork Manufacturer,"https://images.bizbuysell.com/shared/listings/205/2050961/4a6bf7b5-11e5-46ec-9c36-ddde1e46a5ed-W336.jpg,https://images.bizbuysell.com/shared/listings/205/2050961/f0125234-c96a-4a5f-8049-2c1b5f44b696-W336.jpg",7000000.0
,,,,"Campbell, CA","Bombs Away!®, established in September of 2016, is a five-star rated pooper scooper and pet waste management service, currently operating in both Santa Clara and San Mateo counties within the San...",Own a Five-Star Rated Pet Waste Management Service,"https://images.bizbuysell.com/shared/listings/209/2093504/ccd96791-4722-46bd-bcf6-3ea5b02cd1ee-W336.png,https://images.bizbuysell.com/shared/listings/209/2093504/6eb0f1ed-5eb3-4900-aa01-b65a9827f860-W336.png,https://images.bizbuysell.com/shared/listings/209/2093504/0d30e29b-21b7-43a6-b51e-a252bc258e83-W336.png",15000.0
,,,,California,"This is an exceptional opportunity to acquire a highly respected and well-established cemetery broker business in California. With a remarkable history spanning several decades, this business has...",Death Care Business with Exceptional Cash Flow - SBA Pre-Approved,https://images.bizbuysell.com/shared/listings/208/2084777/bd193b27-435b-4575-b92e-8a4735049e6e-W336.jpg,2705000.0
,,,,Available in California,The leader in residential plumbing services. We help our owners grow and dominate their market by providing the tools and support necessary in this thriving home services market.,Benjamin Franklin Plumbing,https://images.bizbuysell.com/fnw/images/758/794/26b8159f-918d-4342-9084-586a5c3378f7.jpg,150000.0
,,,,"Manteca, CA",Don't miss out on this opportunity to own your own RV & Repair business! Family owned with long successful history & client base since 1986! Business specializes in domestic vehicles & RV repairs....,Established RV & Auto Repair Shop Business,"https://images.bizbuysell.com/shared/listings/208/2083861/6576f5b8-f1a3-4ba2-9b86-b7b6bcc09180-W336.jpg,https://images.bizbuysell.com/shared/listings/208/2083861/01182d7c-1096-42b6-890b-7815eca6b728-W336.jpg,https://images.bizbuysell.com/shared/listings/208/2083861/52fe9c16-6aa4-4931-9972-93af0611fc80-W336.jpg,https://images.bizbuysell.com/shared/listings/208/2083861/ffa0dbc0-9f17-47e6-bac2-a0b628d80396-W336.jpg,https://images.bizbuysell.com/shared/listings/208/2083861/7bae29f3-388e-4986-b8a6-ba67556d2442-W336.jpg,https://images.bizbuysell.com/shared/listings/208/2083861/628f71c3-6e6b-4f25-9629-d5535d3b4aeb-W336.jpg",150000.0
,,,,"Valencia, CA","Juice, Smoothie and Acai Franchise with Absentee Seller in Santa Clarita, California. Manager & Shift leads in place. Business is growing and sales are going up. This health oriented brand did well in...",Absentee Juice And Smoothie Franchise,https://images.bizbuysell.com/shared/listings/197/1978243/13e49bc4-b5c0-4d52-ab52-3dd59bbe78fa-W336.jpg,299000.0
,,,,"Oakland, CA","8 station fully staffed, fully stocked. 10k active client list for news letters. 44k instagram followers. Great brand with local following. Can be franchised or expanded into merchandise. 2000sqft...",Well Established Oakland Tattoo Studio and Brand,"https://images.bizbuysell.com/shared/listings/221/2215209/e1c17eb3-d05a-460d-b5a3-64cfad2dc78c-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215209/ff7f28f2-3322-452a-b7c6-997cb3a81a44-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215209/965fbbf6-a7de-4aee-8c53-fe8f4a7b2e60-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215209/061a2936-8195-4e55-86be-c9982dbcf2f2-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215209/62dd42c7-2260-4263-b516-8bedd6715faf-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215209/c5bf9e08-56e7-4163-afb5-6092a52344c4-W336.jpg",250000.0
,,,,"Moreno Valley, CA",Are you ready to own a slice of sweet success? Our frozen yogurt store is the perfect opportunity for entrepreneurs seeking a thriving business in the dessert industry. With a loyal customer base and...,"Beautiful and Vibrant Frozen Yogurt Store located in Moreno Valley, CA","https://images.bizbuysell.com/shared/listings/221/2215008/666a30c0-7ff6-4c01-8887-bd542deff721-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215008/d9b26fde-5ffd-4409-9cd1-2deee846edf6-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215008/98556be9-1b38-45e9-bccf-6da7fe774b5c-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215008/79da0c8d-6d64-46d7-b9a2-d8f9fec61ff9-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2215008/1214b1e5-4453-4084-b099-6670a9867260-W336.jpg",130000.0
,,,,"San Diego, CA","Established and thriving bakery and cafe storefront, one block from one of San Diego's most popular beaches. This space can also be a pizza establishment, or a catering / commissary facility. Plenty...","Bakery, Pizza Shop, Catering Kitchen at the beach","https://images.bizbuysell.com/shared/listings/221/2214873/de3cb3f2-36e5-4309-b4e3-f04b73eeac1b-W336.jpg,https://images.bizbuysell.com/shared/listings/221/2214873/a6fc84b8-51f7-46c0-bc9e-3c2e5515257c-W336.jpg",179000.0
,,,,"Monterey, CA",Key Highlights: - Nationwide locally branded network of 432 digital marketing platforms - 23 years of delivering measurable ROI to clients - Strong client relationships resulting in high renewal rate...,23 Year Family-Oriented Digital Marketing Company - Franchisable,https://images.bizbuysell.com/shared/listings/209/2092825/88eec6c6-cfd5-4026-9038-32afd688d4ca-W336.png,2499000.0
,,,,"Torrance, CA","20 years established with 14 feet and 12 feet Hoods and double fire grill and everything else you can imagine for a full size kitchen . Huge competitor to El Polo Loco . Owner spent over $500,000...",Fresh Fire Grilled Chicken or your concept,https://images.bizbuysell.com/shared/listings/221/2212159/0230e970-fc1e-449f-9df1-1828438afb89-W336.jpg,179900.0
,,,,"Boyle Heights, CA","#1288983 Area: Boyle Heights Asking Price: $295,000 + Inventory Annual Sales: $511,558.95(CC) + $113,824(Cash) = $625,382 (Total) Rent: $1,300 (NNN is included) Lease Term: New (The base rent may...",Very profitable Japanese restaurant in Boyle Heights,https://images.bizbuysell.com/shared/listings/218/2183221/e17fe423-1e72-4faf-ae66-02a6bd3205c9-W336.jpg,295000.0
